month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202102,6077,"san joaquin, ca",489497.5,0.0198,0.0902,338,-0.0611,-0.6593,21.5,-0.434210526,-0.402777778,460,0.0952,-0.3275,20,-0.1667,-0.5,32,-0.3333,-0.8545,852,-0.0416,-0.172,272.6662715,0.035,0.1952,1779.5,-0.0334,-0.0944,698679.5295,0.0122,0.312,1190,-0.0472,-0.4112,2.520710059,0.0513,1.4834
202102,17099,"la salle, il",136750,0.0896,0.1028,156,-0.2277,-0.5895,104.5,0.148351648,-0.066964286,48,-0.0769,-0.4286,0,-1,,24,-0.4,-0.7391,130,0.0484,0.0156,92.44963045,0.0708,0.1556,1530,0,0.0153,210919.805,0.1118,0.2915,286,-0.1227,-0.437,0.833333333,0.2195,0.4965
202102,47147,"robertson, tn",355502,0.0776,0.185,97,-0.1565,-0.5425,21.5,-0.402777778,-0.418918919,92,0.4375,-0.1154,40,-0.1667,0.25,12,-0.25,-0.6667,101,0.0202,0.1477,169.634091,0.031,0.1602,2050,0.0118,-0.0247,463855.2153,0.0544,0.2865,198,-0.0748,-0.34,1.041237113,0.1804,0.6261
202102,25005,"bristol, ma",449500,-0.0633,0.0963,337,-0.1447,-0.6162,49,-0.140350877,-0.289855072,312,-0.025,-0.2571,12,-0.5,-0.25,40,-0.2857,-0.7959,160,0.1268,-0.1837,247.3882664,-0.0037,0.1284,1910,-0.0334,0.0291,712700.0091,0.019,0.4605,497,-0.0728,-0.5372,0.474777448,0.1144,0.2515
202102,13117,"forsyth, ga",487450,0.0373,0.1524,316,-0.0893,-0.7245,24.5,-0.537735849,-0.628787879,388,0.6441,-0.2595,44,-0.2143,-0.3889,52,-0.2353,-0.8116,831,0.1415,0.0073,157.1947256,0.0084,0.2199,2370.5,-0.018,-0.1659,598704.6503,0.057,0.2181,1147,0.067,-0.4184,2.629746835,0.5318,1.9105
202102,42125,"washington, pa",264900,-0.0004,0.2442,294,-0.1276,-0.5304,71.5,-0.168604651,-0.158823529,124,0.0333,-0.3922,12,,2,60,0.0714,-0.5946,323,0.0386,-0.0444,73.22435175,0.0359,0.3689,1314.5,-0.0049,0.0096,370133.7409,0.0158,0.2848,617,-0.0478,-0.36,1.098639456,0.1758,0.5587
202102,40109,"oklahoma, ok",364950,0.1014,0.2805,1012,-0.12,-0.551,44.5,-0.219298246,-0.160377358,492,-0.1745,-0.5233,104,0.625,0.5294,188,-0.338,-0.6713,815,-0.3958,814,155.3495847,0.0319,0.1863,2343.5,0.0416,0.0504,531328.0861,0.0723,0.3664,1827,-0.2689,-0.1898,0.805335968,-0.3677,0.8049
202102,35031,"mckinley, nm",186850,0.0616,0.1752,42,-0.1765,-0.2222,91.5,-0.085,-0.036842105,12,0.5,0.5,0,,,0,-1,-1,14,1.3333,0.75,101.9769357,-0.0144,0.0538,1816.5,-0.045,0.1497,209508.667,-0.0047,0.168,56,-0.0175,-0.0968,0.333333333,0.2157,0.1852
202102,1009,"blount, al",233400,0.0065,0.312,50,-0.1803,-0.569,68.5,0.181034483,-0.212643678,16,-0.5556,-0.6364,0,,,8,-0.3333,-0.6667,52,0.0196,0.3333,103.3167786,-0.0496,-0.0019,2250,0.0045,0.2058,287583.7783,0.0141,0.2492,102,-0.0893,-0.3419,1.04,0.2039,0.7038
202102,6001,"alameda, ca",805000,0.0075,-0.029,920,-0.0076,-0.1552,20.5,-0.511904762,0.138888889,1176,0.2,-0.0034,24,0,-0.4545,108,0.1739,-0.069,1545,0.1402,0.0619,586.5522458,-0.0011,0.1045,1377,-0.0079,-0.1018,1275586.444,-0.0081,0.0521,2465,0.0802,-0.0311,1.679347826,0.2176,0.3433
