ControlQ_NoKidsQ1_1,N0to5yrold,N6to11yrold,N12to17yrold,Ep_Q1_l1,Ep_Q1_l2,Ep_Q1_l3,Quota_Childfocus0to5,Quota_Childfocus_6to11,Quota_Childfocus_12to17,Gender,Sibling_order,Parent_gender,Parent_birthyear_MISSING,Parent_birthyear,Eductaion_scale,Household_income,Region_of_residence,Access_smartphone,Access_tablet,Access_TV,Access_PCconsole,Access_other,Wor_presence,Wor_time_w_friends,Wor_WHO5_rested,Wor_WHO5_activityandenergy,Wor_WHO5_interestingdays,Wor_delayed_gratification,Wor_empathy,Wor_imagination,Wor_PLAY_imaginary,Wor_play_free_play,Wor_physical_activity_health,Q11_PLAY_physical,Wor_WHO5_happiness_mood,Wor_concentrate,Wor_creativity,Wor_learning_school_care,Wor_PLAY_object,Worr_play_adultinitiated,Wor_PLAY_rulebased,Wor_motorskills,Wor_attention,Wor_WHO5_calm_relaxation,Wor_resilience,Wor_self_discipline,Wor_socialskills,Wor_social_relations,Wor_sleep,Wor_language,Wor_stress,Wor_PLAY_symbolic,Wor_time_family,Wor_time_creativity,Wor_time_leisure_activities,Wor_time_schoolwork,Wor_conflicts_at_home,Wor_addiction,Wor_bullying,Wor_loneliness,Wor_somethingelse,Freetext_worry,Freetext_worry_string,WORRY_general,problem_smartphone,problem_ipad,problem_tv,problem_comp,problem_forælder_skærmfb,Parent_action_LIMIT_Q16,Parent_action_SUPPORT_Q17,forælder_begrænse,forælder_støtte,forælder_egne_skærme,forælder_tid_opmærksomhed,skærmtid_regler,skærmtid_regler_TXT,Agency_Uncertainty_Q19,Agency_Lack_of_information_Q20,Agency_screens_positive_functionQ21,Max_1Q22_1_resp,Max_Q22_2_resp,Max_Q22_3_resp,Max_Q22_4_resp,Max_Q22_5_resp,Max_Q22_6_resp,neuromyte_1_F,neuromyte_2_S,neuromyte_3_S,neuromyte_4_F,neuromyte_5_F,neuromyte_6_F,neuromyte_7_S,neuromyte_8_S,neuromyte_9_F,neuromyte_10_F,neuromyte_11_S,neuromyte_2_S_correct,neuromyte_3_S_correct,neuromyte_7_S_correct,neuromyte_8_S_correct,neuromyte_11_S_correct,Neuromyte_1_F_correct,Neuromyte_4_F_correct,neuromyte_5_F_correct,neuromyte_6_F_correct,neuromyte_9_F_correct,neuromyte_10_F_correct,Neuromyths_correct,True_Neuromyths_correct,False_Neuromyths_correct,False_neuromyths_believed,Maximization,Play_focus,Age_group,N_children,Oldest_child,Education_collegelevel_yn,Parent_age,Worry_level
0,0,0,1, , ,3,0,0,1,1,3,2,1,1961,5,5,1,0,0,0,1,0,4,2,1,4,3,4,4,2,2,5,4,2,5,4,3,5,2,2,2,4,4,4,4,4,2,4,1,1,3,4,4,3,2,1,1,1,3,2, ,1,Læselyst,5, , , ,4,4, , ,4,2,2,4,1,Ingen computerspil hvis man bliver sur eller efter aftensmaden.,1,1,2,1,2,2,6,1,2,1,1,2,2,2,2,1,1,2,2,1,1,0,1,1,1,0,1,1,1,1,1,.818181818181818,.8,.833333333333333,.166666666666667,2.33333333333333,2.4,3,1,3,2,57,4
0,0,1,1, ,1,2,0,1,0,1,2,2,1,1969,5,9,2,1,1,1,1,0,5,2,6,6,6,5,5,4,6,6,6,6,6,4,3,4,6,6,6,6,6,6,4,5,6,3,6,3,6,6,4,4,5,5,6,6,5,4, ,1,Kostvaner,2,1,1,1,1,1, , ,6,3,1,1,1,"Begrænset skærmtid, sluttid, regler for hvad der spilles, regler for sprogbrug  i spil online/på skærm",1,1,6,4,6,5,2,4,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,0,1,1,1,0,0,1,1,.727272727272727,.8,.666666666666667,.333333333333333,3.66666666666667,6,2,2,3,2,49,1
0,0,0,1, , ,1,0,0,1,1,3,2,1,1961,5,12,1,1,0,0,1,0,4,1,1,2,4,6,4,3,1,4,1,1,4,4,1,1,1,1,1,1,1,4,4,6,4,1,1,5,4,4,5,1,1,4,6,6,1,1, ,1,Konflikter med oprydning og spisning,5,4, , ,4,4, , ,4,3,1,5,1,Sund fornuft,1,1,6,1,1,4,1,4,4,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,0,1,0,0,1,1,.727272727272727,1,.5,.5,2.5,1.6,3,1,3,2,57,4
0,0,0,1, , ,2,0,0,1,1,1,2,1,1960,3,4,1,1,0,1,1,0,6,5,6,4,5,6,6,5,5,6,6,6,2,6,6,5,6,6,6,4,6,4,6,6,5,6,6,6,6,5,6,6,4,6,5,6,4,5, ,1,Koncentration i skoletimerne,5,5, ,5,5,5, , ,4,5,4,5,2, ,5,6,4,4,5,5,6,6,4,2,2,2,2,2,1,1,2,1,1,1,0,0,1,0,1,1,1,1,0,0,0,.454545454545455,.4,.5,.5,5,5.6,3,1,3,1,58,4
0,0,1,1, ,1,1,0,1,0,1,3,2,1,1969,5,7,3,0,0,0,0,1,6,6,6,6,6,6,6,6,6,6,6,6,4,3,6,6,6,6,6,6,6,4,6,5,6,6,6,6,4,6,6,6,6,6,3,5,3,4, ,1,"kompetencer indenfor skriftsprog, læsning, skrive, lytte og tale",1, , , , ,4, , ,6,4,1,4,1,20 minutter på få udvalgte dage om ugen,1,2,2,1,5,3,5,4,5,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,1,0,0,0,0,.454545454545455,.8,.166666666666667,.833333333333333,3.83333333333333,6,2,2,3,2,49, 
0,1,0,0,1, , ,1,0,0,1,3,1,2, ,3,9,5,0,0,1,0,0,4,4,5,4,4,4,4,5,3,4,4,3,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,5,4,3,4,4,4,5,5,4, ,1,kh,5, , ,2, ,3, , ,5,4,4,4,3, ,4,4,5,4,4,4,4,4,3,1,2,1,1,2,2,1,2,2,2,2,0,1,1,0,0,0,0,1,1,1,1,.545454545454545,.4,.666666666666667,.333333333333333,3.83333333333333,4,1,1,1,1, ,4
0,0,0,1, , ,1,0,0,1,1,3,2,1,1963,5,10,4,1,1,1,1,0,3,4,6,4,3,4,4,2,2,1,4,4,4,6,3,4,3,3,2,4,5,5,5,4,4,4,6,1,5,2,4,2,4,4,3,6,4,6, ,1,"Jeg tror, det kan give nakke- og skulderskader",5,5,1,1,2,5, , ,1,4,4,6,2, ,2,2,5,3,5,3,5,5,2,2,2,2,2,1,1,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,.363636363636364,.4,.333333333333333,.666666666666667,3.83333333333333,2.6,3,1,3,2,55,4
0,0,1,0, ,1, ,0,1,0,1,4,2,1,1984,3,5,2,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,"Jeg synes den er svær, generelt synes jeg det er på plads at have faste regler med hvor længe man må spille. Men problemer med skærmtid synes jeg er et forældreansvar for det gælder om at fange barnets interesser. 
Min søn bruger dagligt flere timer på at spille bold (fysisk) både udenfor og indenfor og han læser frivilligt en bog om ugen, jeg gør utrolig meget for at finde bøger der interesserer ham samt giver ham muligheder for at pleje sine interesser.  Han har ingen regler hvad angår skærmtid, men han sidder heller aldrig flere timer i træk. (Frivilligt)",2, ,1,1,1,1, , ,1,1,1,1,2, ,1,6,6,1,2,3,1,5,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,0,1,.727272727272727,1,.5,.5,2.16666666666667,1,2,1,2,1,34,1
0,0,0,1, , ,1,0,0,1,1,3,2,1,1961,7,11,1,1,0,1,1,0,2,2,4,4,5,2,2,2,4,4,5,5,3,5,4,3,5,4,4,2,5,5,2,3,2,3,4,3,4,5,5,5,4,5,2,4,3,1, ,1,Jeg synes alle spørgsmål går på 'går ud over' altså en entydig negativ indflydelse. Der er ingen tvivl om at skærmtiden influerer børns hverdag - men det er mindre entydigt end bare 'negativt. problematisk formulerede spørgsmål,3,2, ,2,2,2, , ,4,4,2,3,1,Ingen skærme ved fælles måltider,1,1,6,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,0,1,1,0,1,1,1,0,1,1,.727272727272727,.6,.833333333333333,.166666666666667,1.33333333333333,4.6,3,1,3,2,57,2
0,0,0,1, , ,1,0,0,1,1,4,2,1,1971,5,4,1,1,1,1,1,0,4,1,6,5,3,5,5,2,1,5,6,5,5,5,1,5,4,1,1,5,3,6,5,4,4,1,6,3,6,5,5,2,1,5,1,3,1,5, ,1,"Ja forældres skærmforbrug går ud over børnene. Det er os der skal lære dem at lege,være i fællesskaber  og det sker ikke når vi selv bruger så meget skærm tid",5,4,4,2,1,1, , ,1,5,1,4,1,Det har ikke været nødvendigt med regler for jeg har givet mig tid til at lege og dermed har nærvær og leg uden problemer slået lysten til et overforbrug af skærm tid,1,1,5,5,5,6,6,5,5,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,.454545454545455,.6,.333333333333333,.666666666666667,5.33333333333333,3.2,3,1,3,2,47,4
