RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
395224,82,"Wichita, KS",Msa,KS,2879.0,2610.0,2573.0,2475.0,2673.0,2776.0,2896.0,3109.0,3026.0,3083.0,2985.0,3046.0,2922.0,2642.0,2633.0,2540.0,2707.0,2824.0,2766.0,2843.0,2703.0,2712.0,2623.0,2597.0,2332.0,2136.0,2216.0,2168.0,2276.0,2201.0,2257.0,2118.0,2134.0,2094.0,2144.0,2174.0,2013.0,1767.0,""
395115,83,"Springfield, MA",Msa,MA,2044.0,1723.0,1612.0,1617.0,1796.0,2002.0,2229.0,2379.0,2391.0,2374.0,2364.0,2397.0,2085.0,1779.0,1705.0,1632.0,1820.0,1971.0,2164.0,2195.0,2187.0,2148.0,2133.0,2124.0,1867.0,1492.0,1449.0,1493.0,1557.0,1369.0,1557.0,1576.0,1516.0,1516.0,1543.0,1541.0,1305.0,1084.0,1035.0
394440,84,"Fort Myers, FL",Msa,FL,12229.0,12620.0,14444.0,14766.0,15641.0,14842.0,13959.0,12988.0,12398.0,12103.0,11871.0,12684.0,13529.0,13911.0,15944.0,16373.0,16486.0,16069.0,14831.0,14165.0,13187.0,12452.0,12097.0,12683.0,12869.0,12688.0,14093.0,13902.0,13569.0,12271.0,12229.0,11409.0,10667.0,10297.0,9790.0,9860.0,8990.0,8346.0,""
394399,85,"Boise City, ID",Msa,ID,4048.0,3354.0,3048.0,3114.0,3490.0,4041.0,3942.0,4101.0,4282.0,4595.0,4499.0,4409.0,4125.0,3495.0,3484.0,3408.0,3691.0,4232.0,4418.0,4480.0,4579.0,4556.0,4450.0,4541.0,4094.0,3473.0,3479.0,3493.0,3751.0,3782.0,4281.0,3877.0,3427.0,"","",2803.0,2140.0,1785.0,1921.0
395160,86,"Toledo, OH",Msa,OH,2610.0,2339.0,2335.0,2301.0,2440.0,2535.0,2609.0,2686.0,2849.0,2927.0,2791.0,2759.0,2480.0,2142.0,2141.0,1978.0,2181.0,2348.0,2360.0,2434.0,2445.0,2480.0,2426.0,2492.0,2304.0,2040.0,2033.0,2005.0,2002.0,1851.0,2004.0,1942.0,1870.0,1861.0,1835.0,1911.0,1656.0,1432.0,1412.0
394816,87,"Madison, WI",Msa,WI,2660.0,2205.0,2066.0,2216.0,2749.0,3245.0,3513.0,3660.0,3604.0,3497.0,3349.0,3205.0,2815.0,2281.0,2214.0,2330.0,2696.0,3067.0,3533.0,3633.0,3512.0,3480.0,3415.0,3302.0,2862.0,2399.0,2253.0,2458.0,2915.0,2825.0,3028.0,3075.0,3158.0,3082.0,2947.0,2937.0,2582.0,2051.0,1817.0
394766,88,"Lakeland, FL",Msa,FL,4317.0,4113.0,4465.0,4473.0,4681.0,4791.0,4667.0,4590.0,4672.0,4764.0,4840.0,4935.0,4880.0,4694.0,5457.0,5538.0,5747.0,5483.0,5262.0,5699.0,5587.0,5580.0,5649.0,5729.0,5422.0,5134.0,5518.0,5479.0,5464.0,5023.0,5232.0,4955.0,4841.0,4513.0,4394.0,4400.0,3990.0,3701.0,3692.0
394931,89,"Ogden, UT",Msa,UT,2040.0,1757.0,1909.0,1780.0,2079.0,2445.0,2744.0,2771.0,2885.0,3193.0,3120.0,3223.0,2882.0,2362.0,2510.0,2491.0,2687.0,2905.0,3226.0,3336.0,3373.0,3464.0,3471.0,3418.0,2936.0,2393.0,2314.0,2190.0,2699.0,2704.0,2844.0,2573.0,2420.0,2189.0,1950.0,1956.0,1472.0,1238.0,1351.0
394528,90,"Daytona Beach, FL",Msa,FL,5530.0,5360.0,5766.0,5853.0,6175.0,6450.0,6396.0,6385.0,6377.0,6365.0,6176.0,6362.0,6349.0,6084.0,6694.0,6768.0,6983.0,6738.0,6630.0,6749.0,6713.0,6535.0,6403.0,6539.0,6368.0,5996.0,6608.0,6582.0,6671.0,6241.0,6519.0,5988.0,5544.0,5125.0,4866.0,4987.0,4528.0,4335.0,4609.0
394531,91,"Des Moines, IA",Msa,IA,4274.0,3908.0,4115.0,4176.0,5112.0,4723.0,4902.0,5119.0,5115.0,5137.0,5155.0,5166.0,4714.0,4303.0,4388.0,4106.0,4508.0,4924.0,5008.0,5101.0,5264.0,5322.0,5366.0,5352.0,4983.0,4553.0,4505.0,4479.0,4922.0,4802.0,5033.0,4671.0,4540.0,4223.0,4042.0,4044.0,3551.0,3185.0,3221.0
394711,92,"Jackson, MS",Msa,MS,2894.0,2735.0,2826.0,2916.0,3174.0,3335.0,3554.0,3440.0,3378.0,3276.0,3062.0,3114.0,2946.0,2610.0,2679.0,2781.0,2996.0,3003.0,3070.0,3097.0,3049.0,2972.0,2893.0,2876.0,2809.0,2629.0,2619.0,2622.0,2743.0,2563.0,2617.0,2432.0,2341.0,2186.0,2034.0,2034.0,1761.0,1537.0,1516.0
394352,94,"Augusta, GA",Msa,GA,4077.0,3767.0,3827.0,3811.0,3999.0,4098.0,4144.0,4094.0,4124.0,4056.0,3903.0,3895.0,3744.0,3519.0,3684.0,3703.0,3829.0,3840.0,3987.0,4184.0,4225.0,4169.0,4183.0,4055.0,3630.0,3470.0,3607.0,3660.0,3643.0,3271.0,3225.0,2890.0,2981.0,2715.0,2570.0,2542.0,2209.0,2110.0,2211.0
394666,96,"Harrisburg, PA",Msa,PA,3374.0,2775.0,2680.0,2632.0,2897.0,3094.0,3189.0,3227.0,3237.0,3239.0,3067.0,3040.0,2756.0,2400.0,2289.0,2226.0,2439.0,2662.0,2873.0,2945.0,2911.0,2931.0,2910.0,2868.0,2670.0,2347.0,2272.0,2156.0,2066.0,1616.0,2104.0,2293.0,2142.0,2030.0,1826.0,1805.0,1552.0,1300.0,1451.0
395006,100,"Provo, UT",Msa,UT,1968.0,1764.0,1823.0,1614.0,1981.0,2548.0,3054.0,3292.0,3431.0,3440.0,3341.0,3678.0,3548.0,3166.0,3269.0,3174.0,3562.0,3904.0,4181.0,4317.0,4320.0,4433.0,4064.0,4086.0,3659.0,3058.0,3123.0,2978.0,3402.0,3667.0,4047.0,3556.0,3174.0,2851.0,2520.0,2485.0,1807.0,1430.0,1428.0
394602,159,"Fort Collins, CO",Msa,CO,2608.0,2115.0,2051.0,2105.0,2490.0,2800.0,3129.0,3241.0,3490.0,3465.0,3258.0,3590.0,3296.0,2667.0,2573.0,2540.0,2834.0,3314.0,3742.0,3181.0,3323.0,3327.0,3171.0,3028.0,2664.0,2226.0,2396.0,2265.0,2382.0,2405.0,3018.0,3032.0,2993.0,2788.0,2834.0,2591.0,2085.0,1804.0,1799.0
