RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
394404,10,"Boston, MA",Msa,MA,10524.0,9492.0,10063.0,11699.0,13999.0,15878.0,16751.0,16623.0,16738.0,17128.0,16838.0,14977.0,12907.0,11702.0,12462.0,13963.0,16254.0,17775.0,18080.0,17117.0,16581.0,16575.0,16052.0,13831.0,11427.0,10313.0,10859.0,11065.0,11843.0,12819.0,14181.0,14470.0,14317.0,14091.0,13188.0,11193.0,9272.0
395057,11,"San Francisco, CA",Msa,CA,4454.0,4278.0,5254.0,6331.0,7352.0,7908.0,8189.0,8188.0,8469.0,8910.0,8797.0,7643.0,6397.0,5989.0,6769.0,7805.0,8818.0,9352.0,9520.0,9188.0,9179.0,9194.0,8693.0,7099.0,5574.0,5201.0,5742.0,5965.0,6504.0,7295.0,8585.0,9197.0,9622.0,10049.0,9706.0,8470.0,7058.0
394532,12,"Detroit, MI",Msa,MI,15178.0,13999.0,14241.0,15183.0,16889.0,18489.0,19940.0,21199.0,21801.0,21987.0,21166.0,19665.0,18102.0,16868.0,16894.0,17442.0,18964.0,20632.0,22234.0,23417.0,23959.0,23947.0,22812.0,20849.0,18890.0,17621.0,17173.0,15688.0,16143.0,16808.0,18572.0,18509.0,17959.0,17394.0,16033.0,14274.0,12597.0
395025,13,"Riverside, CA",Msa,CA,17553.0,17664.0,18642.0,19501.0,20319.0,20960.0,21618.0,21939.0,22031.0,22099.0,21970.0,21291.0,20736.0,20309.0,20883.0,21229.0,21632.0,21686.0,21682.0,21661.0,21378.0,21119.0,20372.0,19168.0,18097.0,17468.0,17422.0,16713.0,16460.0,16036.0,15719.0,14867.0,14190.0,14008.0,13402.0,12326.0,11184.0
394976,14,"Phoenix, AZ",Msa,AZ,25693.0,25914.0,27510.0,28540.0,28945.0,28341.0,27120.0,26116.0,25390.0,25616.0,25797.0,25490.0,25815.0,26552.0,28599.0,29632.0,30119.0,29376.0,27834.0,26173.0,24708.0,24298.0,23764.0,22807.0,22086.0,21944.0,23031.0,23262.0,23525.0,22867.0,22163.0,21212.0,20871.0,21379.0,21173.0,19877.0,18187.0
395078,15,"Seattle, WA",Msa,WA,7748.0,6802.0,7406.0,8448.0,10409.0,12073.0,13532.0,14299.0,14897.0,15130.0,14437.0,12524.0,10793.0,9528.0,10101.0,10941.0,12996.0,14520.0,15536.0,15360.0,14706.0,13829.0,12233.0,9886.0,7967.0,7194.0,7896.0,8547.0,9507.0,10117.0,11079.0,11780.0,12156.0,12151.0,10970.0,9185.0,7684.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,10331.0,9551.0,10360.0,11765.0,13580.0,15118.0,16220.0,16731.0,16718.0,16443.0,15247.0,13246.0,11308.0,10195.0,10565.0,11766.0,13777.0,15796.0,17080.0,17519.0,17363.0,17071.0,15948.0,13898.0,11840.0,10915.0,11675.0,12517.0,13625.0,14087.0,14701.0,14731.0,14614.0,14448.0,13283.0,11368.0,9526.0
395056,17,"San Diego, CA",Msa,CA,6485.0,6440.0,7168.0,7956.0,8758.0,9312.0,9880.0,10325.0,10600.0,10656.0,10423.0,9785.0,9238.0,8902.0,9264.0,9594.0,10098.0,10417.0,10681.0,10690.0,10391.0,9960.0,9169.0,8155.0,7355.0,7048.0,7308.0,7278.0,7508.0,7627.0,7964.0,7918.0,7777.0,7644.0,7168.0,6435.0,5689.0
395121,18,"St. Louis, MO",Msa,MO,12945.0,12337.0,12819.0,13636.0,14639.0,15299.0,15767.0,15986.0,15825.0,15658.0,15023.0,13978.0,12686.0,11737.0,11969.0,12670.0,13701.0,14299.0,14591.0,14654.0,14607.0,14635.0,14278.0,13295.0,12136.0,11385.0,11629.0,11557.0,11684.0,11423.0,11605.0,11454.0,11356.0,11312.0,10871.0,9958.0,""
395148,19,"Tampa, FL",Msa,FL,19716.0,20018.0,21270.0,22084.0,22693.0,22672.0,22258.0,21939.0,21565.0,21619.0,21695.0,21565.0,21964.0,22472.0,23508.0,23378.0,23122.0,22850.0,22790.0,22561.0,21979.0,21703.0,21343.0,20615.0,20307.0,20330.0,21001.0,20503.0,20392.0,19661.0,19163.0,17981.0,17030.0,16391.0,15561.0,14639.0,13961.0
